Date,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Add. Number
2024-11-11,13,28,39,43,46,48,30
2024-11-07,4,12,17,18,23,34,28
2024-11-04,14,18,25,28,29,44,36
2024-10-31,2,6,10,17,18,49,35
2024-10-28,10,16,33,37,45,47,6
2024-10-24,20,24,28,37,46,47,36
2024-10-21,4,13,19,44,46,49,31
2024-10-17,2,4,10,25,36,38,22
2024-10-14,12,33,39,42,43,48,10
2024-10-10,1,17,24,25,27,39,30
2024-10-07,16,22,23,31,41,49,8
2024-10-03,2,9,15,17,40,48,28
2024-09-30,4,33,34,38,40,43,15
2024-09-26,17,23,26,31,38,40,14
2024-09-23,9,20,22,32,37,47,1
2024-09-19,7,13,17,22,31,37,1
2024-09-16,2,8,15,19,33,38,21
2024-09-12,5,6,14,36,45,49,12
2024-09-09,1,4,10,16,18,29,6
2024-09-05,1,13,27,38,40,43,2
